net.sta,lon,lat,alt
GR.GTTG,9.964,51.546,272.0
IV.FVI,12.78,46.597,1024.0
IV.MAGA,10.629,45.775,1265.0
IV.PTCC,13.354,46.408,700.0
IV.SALO,10.524,45.618,600.0
NI.PALA,12.924,46.245,1280.0
NI.SABO,13.634,45.988,621.0
NI.VINO,13.276,46.254,608.0
NL.1982,6.085,50.869,145.0
NL.GUR1,5.785,51.169,30.0
OE.ABTA,12.512,46.747,1041.0
OE.ARSA,15.523,47.25,577.0
OE.CONA,15.862,47.928,1046.0
OE.CSNA,15.859,47.928,1039.0
OE.DAVA,9.88,47.287,1602.0
OE.FETA,10.729,47.021,1632.0
OE.KBA,13.345,47.078,1721.0
OE.MYKA,13.642,46.63,909.0
OE.RETA,10.762,47.487,965.0
OE.SOKA,15.033,46.678,1008.5
PL.OJC,19.798,50.22,391.0
RF.GEPF,13.139,46.275,255.0
RO.BZS,21.64,45.619,260.0
RO.DEV,22.898,45.887,249.0
RO.DRGR,22.711,46.792,923.0
RO.GZR,22.777,45.393,850.0
SK.KOLS,22.273,48.933,460.0
SL.BOJS,15.252,45.504,252.0
SL.CADS,13.737,46.228,751.0
SL.CEY,14.422,45.738,579.0
SL.CRES,15.457,45.826,431.0
SL.GROS,15.502,46.461,930.0
SL.JAVS,14.064,45.893,1100.0
SL.KNDS,14.381,45.528,1035.0
SL.KOGS,16.25,46.448,245.0
SL.LJU,14.528,46.044,396.0
SL.PERS,15.114,46.636,795.0
SL.ROBS,13.509,46.244,245.0
SL.VISS,14.839,45.803,399.0
SX.FBE,13.354,50.921,234.0
SX.MULD,12.404,50.412,678.0
SX.ROHR,12.317,50.234,629.0
SX.SCHF,12.403,50.677,435.0
SX.TRIB,12.137,50.352,510.0
SX.WERN,12.376,50.287,672.0
TH.HKWD,12.268,50.83,308.0
TH.PLN,12.157,50.485,432.0
TH.SCHD,11.212,50.535,761.0
TH.TAUT,11.711,50.982,330.0
Z2.HM01,7.736,51.671,51.0
Z2.HM02,7.741,51.656,54.0
Z2.HM03,7.746,51.664,59.0
Z2.HM04,7.737,51.66,55.0
Z2.HM05,7.742,51.657,53.0
Z2.HM06,7.75,51.658,51.0
Z2.HM07,7.74,51.656,55.0
Z2.HM08,7.745,51.655,50.0
Z2.HM09,7.754,51.655,52.0
Z2.HM10,7.733,51.652,56.0
Z2.HM11,7.747,51.652,56.0
Z2.HM12,7.752,51.647,61.0
Z2.HM13,7.73,51.644,58.0
Z2.HM14,7.741,51.647,60.0
Z2.HMES,7.727,51.659,57.0
7E.ALTD,11.983,49.753,474.0
7E.FALK,12.223,49.86,473.0
7E.JPJ,14.57,50.87,562.0
7E.MUGL,12.232,49.657,632.0
7E.NEMA,12.719,49.434,570.0
7E.WARM,11.804,50.006,720.0
CZ.KRLC,16.834,50.097,614.0
CZ.UPC,16.012,50.507,416.0
GE.FLT1,11.237,52.331,100.0
GR.A055,9.823,52.405,47.0
GR.AHRW,7.076,50.541,-319.0
GR.HAM3,9.974,53.568,30.2
GR.LDAU,8.127,49.182,151.0
GU.LSD,7.134,45.46,2271.0
GU.TRAV,7.746,45.512,973.0
HU.BEHE,16.776,46.471,303.0
IV.ROVR,11.072,45.647,1316.0
IV.TEOL,11.674,45.362,370.0
NI.ACOM,13.514,46.548,1788.0
NI.AGOR,12.047,46.283,631.0
NI.CGRP,11.805,45.881,1757.0
NI.POLC,12.5,46.027,150.0
NL.1979,5.927,50.971,80.0
NL.1980,5.973,50.8,154.0
NR.NE002,6.114,52.308,10.0
